seller_id,total_orders,total_sales,avg_price,avg_review_score,category_count,avg_photos_qty,seller_state,active_months,monthly_avg_sales,freight_ratio,low_review_rate,on_time_rate,avg_delivery_days
0015a82c2db000af6aaaf3ae2ecb0532,3,2685.0,895.0,3.6666666666666665,1,2.0,SP,2,1342.5,0.02348603351955307,0.3333333333333333,1.0,10.793885030864198
001cca7ae9ae17fb1caed9dfb1094831,200,25080.03,104.9373640167364,3.902542372881356,2,1.794979079497908,ES,18,1393.335,0.36118443376818055,0.18828451882845187,0.9444444444444444,13.096631647673313
001e6ad469a905060d959994f1b41e4f,1,250.0,250.0,1.0,1,5.0,RJ,1,250.0,0.07176,1.0,,
002100f778ceb8431b7a1020ff7ab48f,51,1234.5,22.445454545454545,3.981818181818182,1,1.0,SP,8,154.3125,0.7711030782149153,0.14545454545454545,0.8333333333333334,16.192371399176952
003554e2dce176b5555353e4f3555ac8,1,120.0,120.0,5.0,0,,GO,1,120.0,0.1615,0.0,1.0,4.646805555555556
004c9cd9d87a3c30c522c48c4fc07416,158,19712.71,115.95711764705882,4.1437125748503,1,1.0379746835443038,SP,17,1159.5711764705882,0.19144257695363612,0.12352941176470589,0.9226190476190477,14.43036361882716
00720abe85ba0859807595bbf045a33b,13,1007.5,38.75,3.6538461538461537,1,2.230769230769231,SP,8,125.9375,0.5379509176326153,0.15384615384615385,0.9230769230769231,8.532746171652422
00ab3eff1b5192e5f1a63bcecfee11c8,1,98.0,98.0,5.0,1,1.0,SP,1,98.0,0.12326530612244899,0.0,1.0,9.052488425925926
00d8b143d12632bad99c0ad66ad52825,1,86.0,86.0,5.0,1,1.0,MG,1,86.0,0.5941860465116279,0.0,1.0,7.233344907407408
00ee68308b45bc5e2660cd833c3f81cc,135,20260.0,117.79069767441861,4.3274853801169595,2,1.0930232558139534,SP,12,1688.3333333333333,0.18838419715810562,0.09883720930232558,0.9186046511627907,9.16644191429802
00fc707aaaad2d31347cf883cd2dfe10,103,12684.9,93.96222222222222,3.791044776119403,1,1.0,PR,6,2114.15,0.187924353279953,0.23703703703703705,0.9555555555555556,15.77124777091907
010543a62bd80aa422851e79a3bc7540,2,1416.0,708.0,4.5,1,6.0,SP,2,708.0,0.022563559322033896,0.0,1.0,9.085081018518519
010da0602d7774602cd1b3f5fb7b709e,1,849.5,169.9,1.0,1,4.0,SP,1,849.5,0.27104178928781636,1.0,1.0,26.114687499999995
011b0eaba87386a2ae96a7d32bb531d1,1,99.98,49.99,4.0,1,1.0,SP,1,99.98,0.29185837167433487,0.0,1.0,25.1803125
01266d4c46afa519678d16a8b683d325,3,90.25,30.083333333333332,5.0,1,1.0,PR,1,90.25,0.7800764637590114,0.0,1.0,5.922897376543209
